rpm = 2632, afr = 14.70, ECT = 79.5, gear = 4,tps = 9.6, map = 48,gx = -0.020, gy = 0.060, gz = 0.990
rpm = 2632, afr = 14.70, ECT = 79.5, gear = 4,tps = 9.6, map = 48,gx = -0.050, gy = 0.010, gz = 1.030
rpm = 2624, afr = 14.70, ECT = 79.5, gear = 4,tps = 9.7, map = 48,gx = -0.030, gy = 0.030, gz = 1.060
rpm = 2639, afr = 14.70, ECT = 79.5, gear = 4,tps = 9.6, map = 48,gx = -0.050, gy = 0.020, gz = 1.050
rpm = 2633, afr = 14.70, ECT = 79.5, gear = 4,tps = 9.7, map = 48,gx = -0.050, gy = 0.060, gz = 1.060
rpm = 2623, afr = 14.70, ECT = 79.5, gear = 4,tps = 9.6, map = 48,gx = -0.050, gy = 0.040, gz = 0.980
rpm = 2631, afr = 14.85, ECT = 79.5, gear = 4,tps = 9.6, map = 48,gx = -0.050, gy = 0.030, gz = 0.940
rpm = 2621, afr = 14.70, ECT = 79.5, gear = 4,tps = 9.7, map = 48,gx = -0.030, gy = 0.030, gz = 0.970
rpm = 2632, afr = 14.70, ECT = 79.5, gear = 4,tps = 9.6, map = 48,rpm = 2636, afr = 14.70, ECT = 79.5, gear = 4,tps = 9.6, map = 48,gx = -0.020, gy = 0.020, gz = 0.960
rpm = 2631, afr = 14.70, ECT = 79.5, gear = 4,tps = 9.7, map = 48,gx = -0.010, gy = 0.030, gz = 0.980
rpm = 2576, afr = 14.55, ECT = 79.8, gear = 4,tps = 12.4, map = 61,gx = -0.020, gy = -0.010, gz = 0.950
rpm = 2583, afr = 14.70, ECT = 79.8, gear = 4,tps = 12.4, map = 62,gx = -0.030, gy = -0.010, gz = 0.990
rpm = 2589, afr = 14.55, ECT = 79.8, gear = 4,tps = 12.4, map = 62,gx = -0.030, gy = 0.000, gz = 0.990
rpm = 2580, afr = 14.41, ECT = 79.8, gear = 4,tps = 12.5, map = 62,gx = -0.030, gy = -0.020, gz = 0.950
rpm = 2583, afr = 14.55, ECT = 79.8, gear = 4,tps = 12.5, map = 62,gx = -0.030, gy = -0.010, gz = 1.020
rpm = 2583, afr = 14.55, ECT = 79.8, gear = 4,tps = 12.5, map = 62,gx = -0.040, gy = 0.000, gz = 1.030
rpm = 2575, afr = 14.55, ECT = 79.8, gear = 4,tps = 12.5, map = 62,gx = -0.020, gy = -0.020, gz = 0.990
rpm = 2595, afr = 14.55, ECT = 79.8, gear = 4,tps = 12.6, map = 62,gx = -0.020, gy = 0.040, gz = 0.970
rpm = 2583, afr = 14.55, ECT = 79.9, gear = 4,tps = 12.6, map = 63,gx = -0.050, gy = 0.040, gz = 1.030
rpm = 2588, afr = 14.55, ECT = 79.8, gear = 4,tps = 12.6, map = 63,gx = -0.040, gy = 0.020, gz = 1.000
rpm = 2595, afr = 14.55, ECT = 79.8, gear = 4,tps = 12.7, map = 63,gx = -0.030, gy = 0.030, gz = 0.990
rpm = 2579, afr = 14.55, ECT = 79.9, gear = 4,tps = 12.7, map = 63,gx = -0.040, gy = 0.000, gz = 1.000
rpm = 2587, afr = 14.70, ECT = 79.8, gear = 4,tps = 12.7, map = 63,gx = -0.040, gy = 0.000, gz = 0.980
rpm = 2588, afr = 14.41, ECT = 79.9, gear = 4,tps = 12.8, map = 63,gx = -0.050, gy = 0.000, gz = 1.030
rpm = 2588, afr = 14.55, ECT = 79.9, gear = 4,tps = 12.8, map = 63,gx = -0.030, gy = 0.000, gz = 0.990
rpm = 2597, afr = 14.55, ECT = 79.8, gear = 4,tps = 12.8, map = 64,gx = -0.020, gy = -0.010, gz = 0.980
rpm = 2594, afr = 14.55, ECT = 79.9, gear = 4,tps = 12.8, map = 64,gx = -0.020, gy = -0.010, gz = 1.020
rpm = 2588, afr = 14.55, ECT = 79.9, gear = 4,tps = 12.9, map = 64,gx = -0.030, gy = -0.010, gz = 1.020
rpm = 2590, afr = 14.55, ECT = 79.9, gear = 4,tps = 12.9, map = 64,gx = -0.020, gy = 0.010, gz = 1.030
rpm = 2592, afr = 14.41, ECT = 79.9, gear = 4,tps = 12.9, map = 64,gx = -0.020, gy = 0.040, gz = 1.070
rpm = 2597, afr = 14.41, ECT = 79.9, gear = 4,tps = 12.9, map = 64,gx = -0.030, gy = 0.010, gz = 1.070
rpm = 2601, afr = 14.41, ECT = 79.9, gear = 4,tps = 13.0, map = 64,gx = -0.040, gy = 0.020, gz = 1.070
rpm = 2598, afr = 14.41, ECT = 79.9, gear = 4gx = -0.050, gy = 0.010, gz = 1.080
,tps = 13.0, map = 64,rpm = 2597, afr = 14.41, ECT = 79.9, gear = 4,tps = 13.0, map = 65,gx = -0.040, gy = 0.010, gz = 1.050
rpm = 2590, afr = 14.41, ECT = 79.9, gear = 4,tps = 13.0, map = 65,gx = -0.030, gy = 0.020, gz = 1.000
rpm = 2593, afr = 14.41, ECT = 79.9, gear = 4,tps = 13.0, map = 65,gx = -0.030, gy = -0.010, gz = 0.930
rpm = 2594, afr = 14.41, ECT = 79.9, gear = 4,tps = 13.1, map = 65,gx = -0.020, gy = 0.010, gz = 0.890
rpm = 2591, afr = 14.41, ECT = 79.9, gear = 4,tps = 13.1, map = 65,gx = -0.030, gy = -0.020, gz = 0.860
rpm = 2596, afr = 14.41, ECT = 79.9, gear = 4,tps = 13.1, map = 65,gx = -0.020, gy = -0.010, gz = 0.830
rpm = 2585, afr = 14.41, ECT = 79.9, gear = 4,tps = 13.1, map = 65,gx = -0.020, gy = -0.020, gz = 0.840
rpm = 2594, afr = 14.41, ECT = 79.9, gear = 4,tps = 13.1, map = 65,gx = -0.030, gy = -0.030, gz = 0.920
rpm = 2599, afr = 14.26, ECT = 79.9, gear = 4,tps = 13.2, map = 66,gx = -0.040, gy = -0.030, gz = 1.000
rpm = 2608, afr = 14.41, ECT = 79.9, gear = 4,tps = 13.2, map = 66,gx = -0.050, gy = 0.000, gz = 1.110
rpm = 2605, afr = 14.26, ECT = 79.9, gear = 4,tps = 13.2, map = 66,gx = -0.040, gy = -0.020, gz = 1.110
rpm = 2612, afr = 14.26, ECT = 79.9, gear = 4,tps = 13.3, map = 66,gx = -0.030, gy = -0.010, gz = 1.170
rpm = 2602, afr = 14.26, ECT = 79.9, gear = 4,tps = 13.3, map = 66,gx = -0.020, gy = 0.000, gz = 1.140
rpm = 2600, afr = 14.26, ECT = 79.9, gear = 4,tps = 13.3, map = 66,gx = -0.010, gy = -0.020, gz = 1.050
rpm = 2605, afr = 14.41, ECT = 79.9, gear = 4,tps = 13.3, map = 66,gx = -0.010, gy = -0.030, gz = 0.980
rpm = 2598, afr = 14.26, ECT = 79.9, gear = 4,tps = 13.3, map = 66,gx = -0.030, gy = -0.020, gz = 0.920
rpm = 2598, afr = 14.41, ECT = 79.9, gear = 4,tps = 13.3, map = 66,gx = -0.030, gy = 0.000, gz = 0.900
rpm = 2608, afr = 14.41, ECT = 79.9, gear = 4,tps = 13.3, map = 66,gx = -0.020, gy = 0.010, gz = 0.930
rpm = 2596, afr = 14.26, ECT = 79.9, gear = 4,tps = 13.3, map = 66,gx = -0.030, gy = -0.020, gz = 0.920
rpm = 2609, afr = 14.41, ECT = 79.9, gear = 4,tps = 13.3, map = 66,gx = -0.020, gy = 0.010, gz = 0.950
rpm = 2601, afr = 14.41, ECT = 79.9, gear = 4,tps = 13.3, map = 66,gx = -0.030, gy = -0.010, gz = 1.020
rpm = 2610, afr = 14.26, ECT = 79.9, gear = 4,tps = 13.4, map = 66,gx = -0.050, gy = -0.040, gz = 1.020
rpm = 2611, afr = 14.41, ECT = 79.9, gear = 4,tps = 13.4, map = 66,gx = -0.030, gy = -0.010, gz = 0.990
rpm = 2606, afr = 14.26, ECT = 79.9, gear = 4,tps = 13.4, map = 66,gx = -0.070, gy = -0.020, gz = 1.020
rpm = 2606, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.4, map = 66,gx = -0.060, gy = 0.030, gz = 1.030
rpm = 2611, afr = 14.26, ECT = 79.9, gear = 4,tps = 13.4, map = 66,gx = -0.060, gy = -0.010, gz = 1.040
rpm = 2604, afr = 14.26, ECT = 79.9, gear = 4,tps = 13.4, map = 66,gx = -0.030, gy = -0.020, gz = 0.990
rpm = 2612, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.4, map = 66,gx = -0.020, gy = -0.020, gz = 0.980
rpm = 2610, afr = 14.41, ECT = 79.9, gear = 4,tps = 13.4, map = 66,gx = -0.030, gy = 0.000, gz = 0.930
rpm = 2606, afr = 14.41, ECT = 79.9, gear = 4,tps = 13.4, map = 67,gx = -0.020, gy = 0.000, gz = 0.920
rpm = 2613, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.4, map = 67,gx = -0.040, gy = -0.020, gz = 0.940
rpm = 2606, afr = 14.41, ECT = 80.0, gear = 4gx = -0.030, gy = -0.020, gz = 0.960
,tps = 13.4, map = 67,rpm = 2608, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.4, map = 66,gx = -0.040, gy = 0.040, gz = 0.990
rpm = 2618, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.4, map = 66,gx = -0.030, gy = 0.020, gz = 1.010
rpm = 2615, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.4, map = 66,gx = -0.040, gy = 0.000, gz = 0.990
rpm = 2617, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.4, map = 66,gx = -0.030, gy = 0.000, gz = 0.970
rpm = 2609, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.4, map = 66,gx = -0.030, gy = 0.000, gz = 0.980
rpm = 2612, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.4, map = 67,gx = -0.030, gy = -0.030, gz = 0.970
rpm = 2617, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.4, map = 67,gx = -0.040, gy = -0.020, gz = 0.970
rpm = 2618, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.4, map = 67,gx = -0.040, gy = -0.010, gz = 0.970
rpm = 2621, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.5, map = 67,gx = -0.030, gy = -0.020, gz = 0.990
rpm = 2613, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.4, map = 67,gx = -0.030, gy = -0.010, gz = 0.970
rpm = 2618, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.4, map = 67,gx = -0.040, gy = -0.010, gz = 0.990
rpm = 2615, afr = 14.55, ECT = 80.0, gear = 4,tps = 13.4, map = 67,gx = -0.030, gy = 0.010, gz = 1.010
rpm = 2626, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.4, map = 67,gx = -0.030, gy = 0.020, gz = 1.010
rpm = 2623, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.4, map = 66,gx = -0.040, gy = -0.010, gz = 1.010
rpm = 2618, afr = 14.55, ECT = 80.0, gear = 4,tps = 13.4, map = 66,gx = -0.040, gy = -0.010, gz = 1.010
rpm = 2617, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.5, map = 67,gx = -0.030, gy = 0.020, gz = 1.000
rpm = 2621, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.5, map = 67,gx = -0.030, gy = -0.020, gz = 0.980
rpm = 2624, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.4, map = 67,gx = -0.030, gy = -0.030, gz = 1.020
rpm = 2626, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.4, map = 67,gx = -0.040, gy = 0.000, gz = 0.990
rpm = 2623, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.4, map = 67,gx = -0.020, gy = 0.000, gz = 0.950
rpm = 2619, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.4, map = 66,gx = -0.010, gy = -0.010, gz = 0.960
rpm = 2618, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.4, map = 66,gx = -0.020, gy = -0.050, gz = 0.950
rpm = 2631, afr = 14.55, ECT = 80.0, gear = 4,tps = 13.4, map = 66,gx = -0.030, gy = 0.020, gz = 0.970
rpm = 2621, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.4, map = 66,gx = -0.030, gy = 0.040, gz = 0.940
rpm = 2631, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.4, map = 66,gx = -0.040, gy = 0.000, gz = 0.950
rpm = 2623, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.4, map = 66,gx = -0.060, gy = -0.030, gz = 0.970
rpm = 2620, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.4, map = 66,gx = -0.040, gy = -0.020, gz = 1.020
rpm = 2630, afr = 14.41, ECT = 80.0, gear = 4,tps = 13.4, map = 66,gx = -0.040, gy = -0.020, gz = 1.000
rpm = 2629, afr = 14.41, ECT = 80.1, gear = 4,tps = 13.4, map = 66,gx = -0.040, gy = 0.010, gz = 1.020
rpm = 2631, afr = 14.41, ECT = 80.1, gear = 4,tps = 13.4, map = 66,gx = -0.020, gy = -0.010, gz = 1.020
rpm = 2629, afr = 14.41, ECT = 80.1, gear = 4,tps = 13.4, map = 66,gx = -0.030, gy = -0.020, gz = 1.000
rpm = 2623, afr = 14.41, ECT = 80.1, gear = 4gx = -0.020, gy = -0.010, gz = 0.970
,tps = 13.4, map = 66,rpm = 2632, afr = 14.55, ECT = 80.1, gear = 4,tps = 13.4, map = 66,gx = -0.030, gy = 0.030, gz = 0.980
rpm = 2629, afr = 14.41, ECT = 80.1, gear = 4,tps = 13.4, map = 66,gx = -0.020, gy = -0.020, gz = 0.980
rpm = 2639, afr = 14.41, ECT = 80.1, gear = 4,tps = 13.4, map = 66,gx = -0.030, gy = -0.030, gz = 1.020
rpm = 2637, afr = 14.41, ECT = 80.1, gear = 4,tps = 13.4, map = 66,gx = -0.030, gy = -0.010, gz = 1.040
rpm = 2629, afr = 14.26, ECT = 80.1, gear = 4,tps = 13.4, map = 66,gx = -0.030, gy = -0.010, gz = 1.020
rpm = 2634, afr = 14.41, ECT = 80.1, gear = 4,tps = 13.4, map = 66,gx = -0.040, gy = 0.010, gz = 1.020
rpm = 2630, afr = 14.41, ECT = 80.1, gear = 4,tps = 13.4, map = 66,gx = -0.040, gy = -0.020, gz = 1.000
rpm = 2638, afr = 14.41, ECT = 80.1, gear = 4,tps = 13.4, map = 66,gx = -0.020, gy = -0.040, gz = 0.970
rpm = 2637, afr = 14.41, ECT = 80.1, gear = 4,tps = 13.4, map = 66,gx = -0.030, gy = -0.010, gz = 1.020
rpm = 2633, afr = 14.41, ECT = 80.1, gear = 4,tps = 13.4, map = 66,gx = -0.030, gy = 0.010, gz = 1.060
rpm = 2630, afr = 14.41, ECT = 80.0, gear = 4,tps = 5.0, map = 63,gx = -0.030, gy = 0.040, gz = 1.080
rpm = 2617, afr = 14.41, ECT = 80.0, gear = 4,tps = 0.7, map = 50,gx = -0.010, gy = 0.000, gz = 1.020
rpm = 2620, afr = 14.41, ECT = 80.1, gear = 4,tps = 0.6, map = 39,gx = 0.000, gy = 0.010, gz = 1.000
rpm = 2618, afr = 14.41, ECT = 80.1, gear = 4,tps = 0.7, map = 33,gx = -0.030, gy = 0.020, gz = 1.010
rpm = 2582, afr = 14.26, ECT = 80.4, gear = 4,tps = 22.4, map = 36,gx = -0.020, gy = 0.030, gz = 1.010
rpm = 2670, afr = 13.23, ECT = 80.4, gear = 4,tps = 49.4, map = 84,gx = -0.050, gy = 0.040, gz = 0.970
rpm = 2933, afr = 10.73, ECT = 80.3, gear = 4,tps = 58.3, map = 103,gx = -0.040, gy = 0.010, gz = 0.960
rpm = 3211, afr = 12.05, ECT = 80.2, gear = 4,tps = 55.6, map = 102,gx = -0.030, gy = 0.020, gz = 0.950
rpm = 3517, afr = 13.38, ECT = 80.2, gear = 4,tps = 23.1, map = 99,gx = -0.040, gy = 0.000, gz = 0.940
rpm = 3707, afr = 14.11, ECT = 80.1, gear = 4,tps = 1.2, map = 76,gx = -0.010, gy = 0.010, gz = 0.910
rpm = 3678, afr = 13.38, ECT = 80.1, gear = 3,tps = 0.5, map = 47,gx = -0.010, gy = 0.020, gz = 0.980
rpm = 3607, afr = 12.64, ECT = 80.2, gear = 3,tps = 0.4, map = 35,gx = 0.010, gy = 0.040, gz = 0.960
rpm = 3526, afr = 12.05, ECT = 80.2, gear = 3,tps = 0.5, map = 31,gx = 0.000, gy = 0.090, gz = 1.000
rpm = 3443, afr = 11.61, ECT = 80.1, gear = 3,tps = 0.5, map = 28,gx = -0.010, gy = 0.100, gz = 0.990
rpm = 3385, afr = 11.47, ECT = 80.1, gear = 3,tps = 0.5, map = 27,gx = -0.040, gy = 0.080, gz = 0.940
rpm = 3301, afr = 11.47, ECT = 80.1, gear = 3,tps = 6.2, map = 27,gx = -0.040, gy = 0.050, gz = 0.940
rpm = 3235, afr = 11.47, ECT = 80.5, gear = 3,tps = 18.0, map = 39,gx = -0.030, gy = 0.040, gz = 0.960
rpm = 3347, afr = 12.79, ECT = 80.3, gear = 3,tps = 24.0, map = 64,gx = -0.050, gy = 0.090, gz = 1.020
rpm = 3632, afr = 12.49, ECT = 80.2, gear = 3,tps = 31.6, map = 86,gx = -0.030, gy = 0.100, gz = 0.980
rpm = 3874, afr = 14.11, ECT = 80.2, gear = 3,tps = 35.5, map = 95,gx = -0.040, gy = 0.090, gz = 1.000
rpm = 3803, afr = 14.55, ECT = 80.3, gear = 3,tps = 35.7, map = 98,gx = -0.010, gy = -0.060, gz = 1.110
rpm = 3559, afr = 14.26, ECT = 80.3, gear = 3gx = 0.010, gy = -0.170, gz = 1.090
,tps = 35.8, map = 100,rpm = 3594, afr = 13.96, ECT = 80.3, gear = 3,tps = 35.8, map = 104,gx = -0.020, gy = -0.120, gz = 1.030
rpm = 3770, afr = 14.11, ECT = 80.3, gear = 3,tps = 40.2, map = 106,gx = -0.010, gy = -0.070, gz = 0.950
rpm = 3680, afr = 13.82, ECT = 80.3, gear = 3,tps = 41.9, map = 110,gx = -0.010, gy = -0.180, gz = 0.980
rpm = 3626, afr = 13.52, ECT = 80.3, gear = 3,tps = 42.1, map = 113,gx = 0.000, gy = -0.160, gz = 1.010
rpm = 3752, afr = 13.82, ECT = 80.3, gear = 3,tps = 49.2, map = 116,gx = -0.020, gy = -0.070, gz = 1.000
rpm = 3755, afr = 13.82, ECT = 80.4, gear = 3,tps = 58.5, map = 121,gx = -0.010, gy = -0.120, gz = 1.050
rpm = 3673, afr = 12.94, ECT = 80.4, gear = 3,tps = 60.9, map = 124,gx = -0.020, gy = -0.170, gz = 1.070
rpm = 3742, afr = 13.67, ECT = 80.4, gear = 3,tps = 61.4, map = 128,gx = -0.010, gy = -0.140, gz = 1.000
rpm = 3785, afr = 13.82, ECT = 80.4, gear = 3,tps = 65.8, map = 131,gx = -0.010, gy = -0.160, gz = 1.000
rpm = 3736, afr = 13.38, ECT = 80.4, gear = 3,tps = 67.5, map = 135,gx = -0.010, gy = -0.190, gz = 1.020
rpm = 3777, afr = 13.52, ECT = 80.4, gear = 3,tps = 67.7, map = 138,gx = -0.010, gy = -0.190, gz = 1.000
rpm = 3822, afr = 13.67, ECT = 80.4, gear = 3,tps = 68.0, map = 141,gx = 0.010, gy = -0.160, gz = 0.930
rpm = 3808, afr = 13.96, ECT = 80.4, gear = 3,tps = 68.4, map = 145,gx = 0.000, gy = -0.200, gz = 1.030
rpm = 3804, afr = 13.38, ECT = 80.4, gear = 3,tps = 68.6, map = 149,gx = 0.020, gy = -0.250, gz = 0.990
rpm = 3857, afr = 13.67, ECT = 80.4, gear = 3,tps = 68.8, map = 152,gx = -0.040, gy = -0.190, gz = 0.910
rpm = 3861, afr = 13.52, ECT = 80.4, gear = 3,tps = 68.9, map = 156,gx = -0.010, gy = -0.190, gz = 0.840
rpm = 3851, afr = 13.08, ECT = 80.4, gear = 3,tps = 68.9, map = 160,gx = 0.000, gy = -0.160, gz = 0.760
rpm = 3905, afr = 13.38, ECT = 80.4, gear = 3,tps = 69.0, map = 163,gx = -0.020, gy = -0.190, gz = 0.770
rpm = 3926, afr = 12.94, ECT = 80.4, gear = 3,tps = 69.0, map = 167,gx = -0.040, gy = -0.160, gz = 0.920
rpm = 3915, afr = 12.64, ECT = 80.4, gear = 3,tps = 69.1, map = 171,gx = -0.020, gy = -0.230, gz = 1.010
rpm = 3958, afr = 12.79, ECT = 80.4, gear = 3,tps = 69.2, map = 175,gx = -0.030, gy = -0.280, gz = 1.070
rpm = 3985, afr = 12.35, ECT = 80.4, gear = 3,tps = 69.4, map = 178,gx = -0.030, gy = -0.250, gz = 1.110
rpm = 3977, afr = 12.49, ECT = 80.4, gear = 3,tps = 69.7, map = 182,gx = -0.020, gy = -0.260, gz = 1.040
